日付,学年,時間,場所,内容
2026-03-01,2・3年,14:00-17:00,要確認,フレンドリー戦
2026-03-01,4・5・6年,09:15-10:30,西徳グランド,練習
2026-03-07,キッズ,12:30-13:30,板七小,練習
2026-03-07,1年,12:30-14:30,板七小,練習
2026-03-07,2年,13:30-14:30,板七小,練習
2026-03-07,2年,10:00-12:30,要確認,練習試合
2026-03-07,3・4・5年,10:00-12:30,要確認,練習
2026-03-08,1年,13:00-15:30,志村第四小,練習試合
2026-03-08,2・3年,08:15-10:15,板七小,練習
2026-03-08,3年,17:50-19:20,太田ヶ谷,練習
2026-03-08,4・5年,17:50-19:45,大宮,練習
2026-03-08,6年,08:30-13:00,戸田橋サッカー場B,練馬U12卒業大会 準々決勝
2026-03-14,1・2年,09:00-12:00,板橋区立要確認小,練習試合
2026-03-14,4・5・6年,09:00-11:30,目白台多目的,練習
2026-03-14,3年,10:00-12:00,目白台多目的,練習
2026-03-15,キッズ,11:00-12:20,板七小,練習 キッズイベント
2026-03-15,1・2年,10:30-12:20,板七小,練習
2026-03-15,3年,09:50-11:50,板七小,練習
2026-03-15,4年,08:50-09:50,板七小,練習
2026-03-15,5・6年,08:50-10:50,板七小,練習
2026-03-15,4年,12:00-14:00,西が丘フットサル場,要確認
2026-03-20,2年,09:00-10:00,西が丘FS/A,練習
2026-03-20,3・4年,08:00-14:00,母子生活支援センター,6年生を送る会
2026-03-20,5・6年,08:00-14:00,母子生活支援センター,6年生を送る会
2026-03-21,キッズ・1年,12:00-13:00,西が丘FS/A,練習
2026-03-21,2年,09:00-11:30,目白台多目的,練習
2026-03-21,3年,09:30-12:00,目白台多目的,練習
2026-03-21,4・5年,07:50-10:00,目白台多目的,練習
2026-03-21,6年,12:00-16:00,四ツ木水元,TOHON CUP交流大会
2026-03-22,1年,11:00-13:00,平和台FS,都大会
2026-03-22,2年,09:00-12:00,要確認,練習試合
2026-03-22,2・3年,14:00-17:00,高島六小体育館,練習/交流
2026-03-22,4・5年,17:50-19:45,太田ヶ谷,練習
2026-03-28,2・3年,10:40-13:00,戸田橋川通,招待試合
2026-03-28,4・5年,10:20-13:30,戸田橋川通,招待試合
2026-03-29,キッズ,08:50-09:50,板七小,練習
2026-03-29,1・2年,08:45-10:15,板七小,練習
2026-03-29,4・5年,08:45-10:40,板七小,練習
2026-03-29,2〜6年,12:00-15:30,赤塚公園BBQ広場,BBQイベント予定
